"year","incident.date","incident.type","track","division","count"
"172",2010,2010-04-11,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"173",2010,2010-04-15,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"174",2010,2010-04-16,"EQUINE DEATH","Buffalo Raceway","Harness",1
"175",2010,2010-04-19,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"176",2010,2010-04-20,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"177",2010,2010-04-20,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"178",2010,2010-04-21,"EQUINE DEATH","Buffalo Raceway","Harness",1
"179",2010,2010-04-23,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"180",2010,2010-04-24,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"181",2010,2010-04-24,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"182",2010,2010-04-24,"EQUINE DEATH","Saratoga Gaming & Raceway","Harness",1
"183",2010,2010-04-25,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"184",2010,2010-04-30,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"185",2010,2010-05-01,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"186",2010,2010-05-01,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"187",2010,2010-05-03,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"188",2010,2010-05-06,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"189",2010,2010-05-07,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"190",2010,2010-05-07,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"191",2010,2010-05-11,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"192",2010,2010-05-13,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"193",2010,2010-05-13,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"194",2010,2010-05-14,"EQUINE DEATH","Saratoga Gaming & Raceway","Harness",1
"195",2010,2010-05-15,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"196",2010,2010-05-17,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"197",2010,2010-05-20,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"198",2010,2010-05-21,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"199",2010,2010-05-21,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"200",2010,2010-05-22,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"201",2010,2010-05-31,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"202",2010,2010-05-31,"EQUINE DEATH","Saratoga Gaming & Raceway","Harness",1
"203",2010,2010-06-04,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"204",2010,2010-06-04,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"205",2010,2010-06-05,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"206",2010,2010-06-08,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"207",2010,2010-06-10,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"208",2010,2010-06-11,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"209",2010,2010-06-11,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"210",2010,2010-06-15,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"211",2010,2010-06-17,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"212",2010,2010-06-17,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"213",2010,2010-06-17,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"214",2010,2010-06-17,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"215",2010,2010-06-18,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"216",2010,2010-06-18,"EQUINE DEATH","Saratoga Gaming & Raceway","Harness",1
"217",2010,2010-06-20,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"218",2010,2010-06-22,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"219",2010,2010-06-23,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"220",2010,2010-06-26,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"221",2010,2010-06-27,"EQUINE DEATH","Buffalo Raceway","Harness",1
"222",2010,2010-07-01,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"223",2010,2010-07-02,"EQUINE DEATH","Buffalo Raceway","Harness",1
